date,meanCylindrospermopsin,meanMicrocystin
5/14/2013 9:30,0.1,0.15
5/14/2013 12:30,0.1,0.15
5/14/2013 13:40,0.1,0.15
5/14/2013 13:50,0.1,0.15
5/14/2013 14:00,0.1,0.15
5/14/2013 14:50,0.1,0.15
5/28/2013 10:30,1.4,0.15
5/28/2013 12:30,0.2,0.15
5/28/2013 13:30,0.1,0.15
5/28/2013 13:50,0.1,0.15
5/28/2013 14:00,0.1,0.15
5/28/2013 15:00,0.1,0.15
5/31/2013 11:15,0.1,0.15
5/31/2013 12:25,0.1,0.15
5/31/2013 12:45,0.1,0.15
5/31/2013 13:30,0.1,0.15
6/3/2013 10:30,0.16,0.15
6/3/2013 12:30,0.1,0.15
6/3/2013 13:55,0.1,0.15
6/3/2013 14:00,0.1,0.15
6/3/2013 14:10,0.1,0.15
6/3/2013 15:00,0.1,0.15
8/27/2013 10:45,0.1,0.15
8/27/2013 11:00,0.1,0.15
8/27/2013 12:00,0.1,0.15
8/28/2013 8:50,0.1,0.15
8/28/2013 9:10,0.1,0.15
8/28/2013 13:50,0.1,0.15
5/29/2014 10:00,0.6,0.15
5/29/2014 10:30,64.4,0.15
5/29/2014 11:00,195,0.15
6/3/2014 11:00,0.18,0.15
6/3/2014 11:30,2.15,0.15
6/3/2014 11:33,2,0.15
6/3/2014 12:20,0.1,0.15
6/3/2014 13:00,0.1,0.15
6/3/2014 13:30,0.1,0.15
6/3/2014 14:15,0.1,0.15
6/4/2014 9:15,0.1,0.15
6/4/2014 9:20,0.87,0.15
6/4/2014 11:15,0.1,0.15
6/4/2014 11:50,0.1,0.15
6/5/2014 12:15,1.96,0.15
6/5/2014 12:30,1.07,0.15
6/5/2014 12:45,0.77,0.15
6/5/2014 13:50,0.6,0.15
6/10/2014 11:13,,0.15
6/10/2014 12:10,,0.15
6/17/2014 10:10,0.36,0.15
6/17/2014 11:30,0.37,0.15
6/24/2014 10:10,,0.15
6/24/2014 12:05,,0.15
7/1/2014 9:50,,0.15
7/1/2014 11:30,,0.15
7/8/2014 9:50,,0.15
7/8/2014 11:30,,0.15
7/15/2014 10:00,,0.15
7/15/2014 11:20,,0.15
7/22/2014 9:30,,0.15
7/22/2014 10:30,,0.15
7/29/2014 10:10,,0.15
7/29/2014 11:10,,0.15
7/29/2014 12:10,,0.15
7/29/2014 13:10,,0.15
7/29/2014 13:25,,0.15
7/29/2014 14:00,,0.15
8/2/2014 15:15,,0.15
8/2/2014 15:25,,0.15
8/3/2014 15:10,,0.15
8/3/2014 15:20,,0.15
8/4/2014 11:04,,0.15
8/4/2014 12:00,,0.15
8/4/2014 13:05,,0.15
8/4/2014 14:15,,0.15
8/4/2014 14:30,,0.15
8/4/2014 15:00,,0.15
8/6/2014 9:20,,0.15
8/6/2014 11:00,,0.15
8/6/2014 11:15,,0.15
8/6/2014 11:55,,0.15
8/7/2014 13:25,,0.15
8/7/2014 14:25,,0.15
8/7/2014 14:30,,0.15
8/8/2014 12:15,,0.15
8/8/2014 12:20,,0.15
8/8/2014 12:25,,0.15
8/8/2014 13:30,,0.15
8/8/2014 14:00,,0.15
8/8/2014 15:45,,0.15
8/9/2014 9:00,,0.15
8/9/2014 10:00,,0.15
8/9/2014 14:00,,0.15
8/9/2014 14:30,,0.15
8/10/2014 8:18,,0.15
8/10/2014 9:00,,0.15
8/10/2014 11:10,,0.15
8/10/2014 14:45,,0.15
8/11/2014 9:50,,0.15
8/11/2014 10:30,,0.15
8/11/2014 10:45,,0.15
8/11/2014 12:00,,0.15
8/12/2014 9:50,,0.15
8/12/2014 10:40,,0.15
8/12/2014 11:45,,0.15
8/12/2014 12:30,,0.15
8/12/2014 13:10,,0.15
8/12/2014 13:30,,0.15
8/13/2014 9:50,,0.15
8/13/2014 10:30,,0.15
8/13/2014 11:00,,0.15
